,Word,Count
0,perintah,40876
1,lampung,209
2,bantu,4711
3,mahasiswa,345
4,deras,11
5,donasi,96
6,masuk,669
7,provinsi,1472
8,tim,604
9,gugus,931
10,tugas,1611
11,covid,41098
12,19,33379
13,terap,1470
14,herd,236
15,imunity,237
16,mampu,75
17,nihil,25
18,berantas,144
19,gambling,10
20,kuat,314
21,tahan,476
22,hidup,1191
23,lemah,103
24,mati,793
25,negara,2579
26,serius,467
27,tangan,6872
28,virus,4000
29,laku,1227
30,makan,363
31,buka,1209
32,sahur,12
33,10,434
34,kepala,1661
35,keluarga,1043
36,dampak,3437
37,tasik,4
38,data,1572
39,ramadan,110
40,rencana,458
41,paket,236
42,sembako,484
43,lengkap,490
44,moga,896
45,rejekinya,1
46,warga,2813
47,positif,2276
48,corona,3477
49,bupati,190
50,kondisi,600
51,tuntut,129
52,sama,90
53,rakyat,3403
54,news,291
55,bantaeng,5
56,kabupaten,2059
57,rilis,98
58,rakyatdotnews,15
59,referensiterkini,15
60,rakyatnews,15
61,emosi,29
62,banget,650
63,suruh,322
64,liput,21
65,dosen,18
66,canda,49
67,sih,1522
68,dirumahaja,562
69,rumah,2809
70,antisipa,1
71,sebar,4885
72,pandemi,6736
73,butuh,664
74,kerja,2311
75,masyarakat,6868
76,musibah,48
77,berkatagori,1
78,non,115
79,alam,159
80,prosesnewsid,15
81,psb,1773
82,gorontalo,44
83,bang,108
84,peduli,502
85,republik,1413
86,cina,418
87,urus,503
88,abk,14
89,tingal,1014
90,1,1861
91,korban,572
92,ratus,119
93,indonesia,7473
94,kasihan,207
95,sedih,153
96,kali,379
97,updates,25
98,kini,131
99,kamis,276
100,07,74
101,05,179
102,2020,3289
103,sumber,315
104,dinas,259
105,sehat,3633
106,magetan,74
107,info,374
108,grafis,105
109,angka,860
110,selamat,779
111,waspada,308
112,panik,224
113,ikut,2261
114,himbauan,1830
115,kpulawancovid19,24
116,pie,6
117,menteri,1464
118,uang,751
119,sri,101
120,mulyani,85
121,daerah,3079
122,khusus,680
123,kota,2993
124,jakarta,824
125,pusat,1512
126,tangung,651
127,bansos,687
128,alas,341
129,batas,740
130,dana,1088
131,skandalamiespemprovdki,2
132,bilang,615
133,untung,149
134,ribu,336
135,daftar,129
136,rugi,112
137,tolak,221
138,lock,26
139,down,35
140,pilih,599
141,jokowi,1100
142,lockdown,373
143,bahaya,364
144,atas,893
145,ya,378
146,pantas,5
147,nya,1272
148,ciduk,5
149,bebas,527
150,jrx,37
151,dapat,459
152,konspirasi,230
153,luas,300
154,pikir,790
155,akal,120
156,sakit,1371
157,nyata,565
158,toxic,11
159,bego,47
160,deny,9
