,Unnamed: 0,Word,Count
11,11,covid,41098
0,0,perintah,40876
12,12,19,33379
93,93,indonesia,7473
27,27,tangan,6872
75,75,masyarakat,6868
72,72,pandemi,6736
71,71,sebar,4885
2,2,bantu,4711
28,28,virus,4000
105,105,sehat,3633
231,231,polisi,3567
164,164,orang,3533
48,48,corona,3477
36,36,dampak,3437
315,315,bijak,3415
53,53,rakyat,3403
470,470,normal,3351
102,102,2020,3289
266,266,cegah,3223
269,269,atur,3187
196,196,putus,3091
121,121,daerah,3079
123,123,kota,2993
340,340,ekonomi,2925
46,46,warga,2813
69,69,rumah,2809
1223,1223,new,2727
243,243,patuh,2623
25,25,negara,2579
402,402,protokol,2396
178,178,salah,2329
74,74,kerja,2311
47,47,positif,2276
113,113,ikut,2261
874,874,usaha,2224
339,339,sosial,2059
56,56,kabupaten,2059
655,655,laksana,2015
211,211,cepat,1965
229,229,aman,1902
90,90,1,1861
412,412,undang,1838
114,114,himbauan,1830
349,349,dukung,1803
189,189,pasien,1782
81,81,psb,1773
34,34,kepala,1661
232,232,sektor,1660
193,193,upaya,1657
163,163,mudik,1642
310,310,anjur,1632
198,198,rantai,1621
10,10,tugas,1611
182,182,2,1607
195,195,program,1585
636,636,jalan,1580
38,38,data,1572
509,509,kait,1535
67,67,sih,1522
125,125,pusat,1512
380,380,desa,1490
7,7,provinsi,1472
13,13,terap,1470
117,117,menteri,1464
267,267,wabah,1438
905,905,giat,1426
85,85,republik,1413
464,464,tambah,1404
156,156,sakit,1371
919,919,masker,1336
459,459,bicara,1320
248,248,tes,1311
920,920,jaga,1291
147,147,nya,1272
461,461,nasional,1266
302,302,jawa,1240
29,29,laku,1227
31,31,buka,1209
972,972,wakil,1192
705,705,lawan,1192
22,22,hidup,1191
298,298,hadap,1189
328,328,pakai,1169
311,311,kena,1163
197,197,mata,1138
230,230,tertib,1117
141,141,jokowi,1100
924,924,tengah,1090
130,130,dana,1088
453,453,terima,1082
463,463,baru,1062
289,289,tular,1061
428,428,akibat,1059
458,458,juru,1055
35,35,keluarga,1043
586,586,timur,1042
910,910,angar,1032
89,89,tingal,1014
665,665,5,995
1013,1013,badan,993
293,293,tingkat,989
603,603,presiden,963
301,301,satu,951
260,260,mari,949
9,9,gugus,931
971,971,dewan,915
228,228,bina,914
321,321,berita,901
834,834,covid19,900
44,44,moga,896
144,144,atas,893
213,213,turun,889
432,432,mei,880
560,560,sesuai,865
109,109,angka,860
583,583,langsung,858
670,670,pulih,851
502,502,fokus,849
677,677,yurianto,846
676,676,achmad,840
277,277,3,839
300,300,hasil,837
694,694,tenaga,832
124,124,jakarta,824
501,501,baik,806
278,278,camat,804
234,234,wilayah,795
24,24,mati,793
154,154,pikir,790
372,372,langkah,785
1213,1213,medis,785
110,110,selamat,779
1205,1205,ri,777
273,273,salur,775
171,171,sembuh,761
938,938,tangulang,751
118,118,uang,751
753,753,harap,747
227,227,bhayangkara,744
129,129,batas,740
307,307,kayak,740
210,210,rangka,730
218,218,tau,728
438,438,milik,704
634,634,hubung,692
127,127,bansos,687
781,781,dunia,686
799,799,juni,682
122,122,khusus,680
435,435,kasih,675
578,578,barat,672
472,472,biar,670
6,6,masuk,669
272,272,6,665
73,73,butuh,664
798,798,disiplin,660
571,571,0,657
1119,1119,imbau,657
126,126,tangung,651
62,62,banget,650
597,597,pasar,637
545,545,aceh,632
1042,1042,negeri,624
1623,1623,tat,624
314,314,bikin,622
132,132,bilang,615
8,8,tim,604
776,776,kembang,602
50,50,kondisi,600
140,140,pilih,599
332,332,anak,594
385,385,tekan,593
377,377,tutup,593
584,584,tunai,586
1405,1405,jamin,583
217,217,dasar,582
166,166,larang,580
754,754,selesai,579
1476,1476,tunda,578
1824,1824,biaya,578
861,861,ambil,577
91,91,korban,572
157,157,nyata,565
593,593,keluar,563
68,68,dirumahaja,562
416,416,bahas,557
647,647,aktivitas,547
245,245,lihat,537
573,573,bagi,536
1349,1349,percaya,534
221,221,sadar,533
766,766,4,532
1132,1132,serah,529
908,908,surat,529
596,596,sekolah,527
149,149,bebas,527
186,186,tuju,523
611,611,umum,519
188,188,obat,515
830,830,vaksin,515
1274,1274,kurang,515
629,629,bentuk,514
359,359,ayo,511
366,366,perhati,510
923,923,mikro,509
398,398,selengara,507
1219,1219,patroli,503
87,87,urus,503
84,84,peduli,502
931,931,ketua,497
1856,1856,situasi,495
913,913,iya,491
43,43,lengkap,490
162,162,nih,486
42,42,sembako,484
612,612,jarak,483
1610,1610,brigadir,477
854,854,media,476
911,911,belanja,476
570,570,20,476
21,21,tahan,476
1190,1190,via,475
1577,1577,tetap,473
937,937,kendali,472
418,418,maklumat,470
587,587,rapid,469
26,26,serius,467
1312,1312,siap,463
1572,1572,partai,461
1789,1789,naik,460
151,151,dapat,459
1016,1016,rupiah,459
1089,1089,juang,458
40,40,rencana,458
730,730,rancang,457
1281,1281,angota,456
1706,1706,bayar,455
872,872,ubah,454
693,693,nilai,450
1022,1022,lebaran,440
917,917,informasi,439
403,403,lindung,439
2430,2430,insentif,438
33,33,10,434
1645,1645,triliun,433
222,222,ajar,428
1446,1446,publik,422
649,649,tangal,420
86,86,cina,418
482,482,awas,415
417,417,sosialisasi,415
916,916,hati,411
387,387,i,407
786,786,juta,407
1402,1402,listrik,406
180,180,gara,403
173,173,yuk,403
2212,2212,pajak,402
591,591,coba,402
1161,1161,arah,401
1001,1001,dagang,400
304,304,harga,400
410,410,resor,400
1288,1288,ganti,400
881,881,cari,399
2950,2950,haji,398
760,760,layan,398
492,492,baca,397
1097,1097,takut,395
806,806,tentara,394
167,167,henti,393
768,768,total,393
1331,1331,lapor,391
627,627,capai,390
600,600,antisipasi,389
1637,1637,longar,389
2079,2079,karya,388
