,cleaned
0,abnormal
1,absurd
4,acuh
5,acuh tak acuh
6,adiktif
7,adil
8,agresi
9,agresif
10,agresor
11,aib
12,air terjun
13,akurat
14,alarm
15,alas
16,alat main
17,alergi
18,alergik
19,amat takut
20,amat panas
21,ambigu
22,ambivalen
23,ambivalensi
24,amoral
25,amoralitas
26,ampun
28,anak nakal
29,anak yatim
30,anarki
31,anarkis
32,anarkisme
35,aneh lagi
38,angriness
39,anjing
40,anjlok
41,anomali
42,antagonis
43,antagonisme
44,antek
45,anti-
46,anti-amerika
47,anti-israel
48,anti-kita
49,anti-pendudukan
50,anti-proliferasi
51,anti-putih
52,anti-semit
53,antipati
54,antisosial
55,antitesis
56,apak
57,apati
58,apatis
59,apek
60,apokaliptik
61,apologis
62,argumentatif
63,arti jika
64,asam
65,asap
66,asem
68,astaghfirullah
69,asusila
71,awas
72,babi
73,badai
74,bahan tertawa
76,bajing
77,baju kotor
78,balas dendam
79,bandel
80,bandot
81,bangkrut
82,banting
83,banyak sekali
84,barang ganjil
85,barbar
86,basi
89,bebal
90,beban
91,bejat
92,bekas
93,bekas luka
94,bekas roda
96,belah
97,belum dewasa
98,belum coba
99,belum konfirmasi
100,belum pasti
101,belum selesai
103,bencana
104,bencana alam
106,bengah
109,bengkeng
110,bengkok
111,benjol
112,bentrok
114,adab
115,akhir
118,beranta
120,berat belah
126,bisa
128,buat curang
130,buat salah
131,buih
133,dalih
135,dasar
137,debar
138,debat
140,dengung
143,derak
144,derit
145,detak
146,dokumen
149,dur
152,gairah
153,gegas
154,gelombang
155,geming
157,gerak lambat
158,gerigi
160,golak
161,gulat
162,haluan kiri
164,berita palsu
168,kata tanpa pikir
169,kedip
171,kenan
172,keping
174,keringat
177,kilat
178,kilau
179,kolusi
181,kubang
183,langgan
186,lengah
187,lepot
188,liku
190,main lebih
192,minyak
193,moral
194,muka dua
196,muram durja
198,mutu rendah
199,nasib buruk
200,noda kotor
201,rongga
202,perang
207,sanding
209,sekongkol
212,semangat
213,senandung
214,sera
215,tubuh
216,sisik
217,tele
218,temu
221,teriak
222,tindak tidak pantas
223,ting
224,tubuh kecil
225,ukur terlalu kecil
226,umur pendek
227,wajah dua
229,bias
231,biasa saja
232,bid ah
233,bikin
234,bimbang
238,bisa ular
240,blunder
241,bobrok
246,boneka
249,botak
252,buar
253,buas
255,bug
256,bukan kepalang
258,bunuh diri
259,buram
260,burit
261,buron
263,buruk sekali
266,buta huruf
270,calo
271,cambuk
272,canggung
273,cara
274,cari perkara
275,carut-marut
276,cebol
277,cedera
278,cekcok
279,cekung
281,celah
284,cemberut
289,cengeng
290,cengking
292,cerdik
293,cerewet
295,compang-camping
296,coreng
297,cukup
298,curam
301,dancok
303,deadline
305,defensif
306,degenerasi
307,degradasi
308,dehumanisasi
310,demam
311,demoralisasi
313,dengan cemooh
314,dengan dapat malapetaka
315,dengan kaget
316,dengan hina
318,dengan sesal
319,dengan panas
320,dengan penuh takut
321,dengan rasa curiga
322,dengan rasa hina
323,dengan remeh-temeh
325,dengan segan
326,dengan sengit
327,dengan sia
328,dengan suara keras
329,dengan sukar
330,dengan bahak
331,dengan tidak senang
333,depresi
336,destruktif
344,besar
349,cuci
351,dana
353,halus
355,hibur
362,diktator
363,diktatoris
364,lapis gula
366,dilema
371,dingin
372,rang
374,laku dengan buruk
375,main
376,tanya
377,pikir
381,disalahgunakan
382,disalahpahami
384,sebut
386,sengaja
387,sengketa
388,siram
389,diskredit
390,diskriminasi
391,diskriminatif
392,disorient
393,disproporsional
395,takdir
399,dogmatis
400,dominan
401,dongkol
403,downgrade
404,drastis
405,drop-out
406,dua wajah
409,dukun
410,dumping
411,dungu
412,duniawi
413,dupa
414,durhaka
415,duri
417,dusun
418,dwimakna
419,edan
420,egois
421,egoisme
422,egomania
423,egosentris
426,ekonomis
428,eksploitatif
429,eksplosif
430,ekstremis
432,enggan bantu
433,erosi
434,fana
436,fanatisme
437,fantastis
438,fasis
439,fasisme
440,fatal
441,fiksi
444,fobia
445,friksi
446,frustasi
447,frustrasi
448,fundamentalis
449,fundamentalisme
450,ga jelas
451,ga karuan
452,ga peka
453,gadungan
456,gaib
457,galak
460,ganjil
461,ganti rugi
464,garis keras
465,garu
466,gasang
467,gatal
468,gegabah
471,gelandang
474,gelora
475,gembar-gembor
476,gendut
477,genit
478,genosida
479,genting
480,gerah
482,gerombol
483,gesek
484,gesper
485,getah
487,giat
488,gigih
491,gila hormat
492,gila takut
495,goreng
496,gores
497,gosip
498,goyah
500,gua
502,gurun
505,hak milik
506,hal rendah diri
507,hal tidak erti
509,hama
511,hampir
512,hampir mati
514,hang
515,haram
516,harga di atas
518,haus
519,haus darah
520,hedon
521,hedonistik
522,hegemoni
523,hegemonisme
524,hemat
525,hidung belang
527,hingar-bingar
528,hiruk-pikuk
529,histeri
530,histeria
531,histeris
534,hukum penjara
535,hukum timpal
536,hutang
537,iblis
538,idiot
540,ih
541,ikut campur
542,ilegal
543,iluminati
544,ilusi
545,imajiner
546,imperialis
547,impoten
548,impulsif
549,individualis
552,inferioritas
553,inflamasi
554,inflasi
555,ingus
556,inkompeten
557,inkompetensi
558,inkonsistensi
559,inkonstitusionil
560,insensitively
561,interupsi
563,intrusi
564,invasif
566,irasionalitas
567,iri
568,iritasi
569,ironi
572,isolasi
573,istirahat
574,isu
575,jadah
576,jahanam
578,jalan buntu
579,jalan keluar
580,jancuk
583,jatuh sakit
585,jebak
586,jelaga
588,jelatang
590,jelu
591,jempol bawah
592,jenaka
595,jerawat
597,jeruk nipis
599,jompo
600,jumlah sedikit
602,kabut
604,kadaluarsa
605,kadung
606,kafir
607,kagum
608,kain kafan
612,kambing hitam
613,kambuh
614,kampung
615,kandang
616,kandas
617,kanibal
618,kanker
619,kantong sampah
620,kapak
621,kapal
