,cleaned
0,a
1,acung jempol
2,adaptif
4,afinitas
5,afirmasi
6,agilely
11,aklamasi
12,akomodatif
13,akurat
14,alam mimpi
15,alhamdulillah
16,allahu akbar
17,altruistis
18,aman
19,amanah
20,amat
21,ambisius
22,andal
23,aneh
25,angin sepoi
27,antusias
28,antusiasme
29,apik
30,apresiasi
32,aspirasi
34,bagos
35,bagus
38,baik posisi
39,baik sekali
44,banyak
45,banyak akal
46,barang baru
47,batu permata
49,bebas masalah
50,bebas pulsa
51,bebas rasa sakit
52,bebas resiko
53,kerja
54,kerja keras
55,belas kasihan
58,bengal
59,adaptasi
60,alas
62,rap
63,arti
64,baik hati
67,budi luhur
68,cacat
70,canda
71,cita
72,daya cipta
74,dedikasi
75,berdikari
76,empat
78,gaya
79,gema
82,gengsi
83,gizi
87,hutang
88,ikut
90,isi
91,istirahat
93,jasa
95,jenis
96,juang
97,kapasitas besar
98,berkat
100,laku baik
102,kembang
106,kualitas
107,langsung mudah
110,maksud baik
112,manuver
114,nila
115,didik
116,didik baik
117,alam
119,tahu luas
120,pijar
122,sedia laku
124,semangat luap
126,senda gurau
127,seri
128,sifat dermawan
129,sifat damai
131,sinar
132,sorak
134,suka cita
135,suka ria
137,tanggung jawab
139,berterimakasih
141,warna ria
142,wawas
144,besar sekali
145,biaya rendah
146,bijak
148,bikin cemburu
149,bimbing
150,bintang rock
151,bisa guna
152,bisa terap
153,bonus
154,boros
155,brilian
157,cahaya redup
160,cashbacks
161,cekat
162,cemas
168,cergas
169,cermat
170,cetar
171,cetar bahana
174,contoh
176,cukup besar
179,dapat andal
180,dapat capai
181,dapat ganti
182,dapat percaya
183,dapat raih
184,dapat sesuai
185,daya tarik
186,dengan mewah
187,dengan senang hati
188,dengan sopan
189,dermawan
190,dewasa
191,akses
192,aku
193,diam
194,anggap baik
195,baca
197,beri
199,buat dengan baik
203,ganggu gugat
204,ganti oleh guna
208,izin
209,kelola
210,kelola dengan baik
211,kembali
212,layar
214,lepas
215,lihat
218,dinamis
219,baharu
221,oleh
222,diplomatik
223,poles
232,tambah lagi
234,terima dengan baik
236,verifikasi
238,dua
241,durian runtuh
242,edukatif
243,efektif
244,efektivitas
245,efisien
246,egois
247,ekonomis
248,ekstase
249,elastis
250,elegan
251,elite
253,empati
255,enchantingly
256,energi
257,ergonomis
258,etis
259,euforia
260,evaluatif
261,examplar
262,fajar
263,fantastis
264,fasih
265,fav
266,fave
268,fenomenal
269,firdaus
270,fleksibel
271,fleksibilitas
272,futuristik
273,gagah
274,gaib
